signal,event_count,long_events,short_events,mean_net_signed_return,ci_95_lower,ci_95_upper,win_rate_after_cost,matched_random_pvalue,stage_one_verdict
rsi,396,172,224,-0.0011816327769895993,-0.004017201714550348,0.0016044586109060291,0.4898989898989899,0.2463768115942029,INCONCLUSIVE
bollinger,765,377,388,-0.0015097811207293516,-0.003971069710203366,0.0007523279245156099,0.5058823529411764,0.2898550724637681,INCONCLUSIVE
combined,616,248,368,-0.0027535003335681916,-0.005317364726643226,-0.0002395005644706669,0.4967532467532468,0.7706146926536732,NO_DESCRIPTIVE_EDGE
