Date,Open,High,Low,Close,Volume,funding_rate
2021-01-02 00:00:00,728.91,734.4,714.91,730.39,119184.4496,0.00025572
2021-01-02 08:00:00,735.12,738.35,723.01,729.7,120264.73109,0.00049233
2021-01-03 08:00:00,799.74,832.3,791.5,829.76,334288.39418,0.00074404
2021-01-04 00:00:00,978.33,1025.81,954.22,1021.41,432623.86115,0.00295549
2021-01-04 08:00:00,1044.3,1078.93,890.0,976.8,1176111.38746,0.00375
2021-01-04 16:00:00,1040.0,1048.0,982.05,1042.28,540996.24594,0.00085432
2021-01-06 16:00:00,1144.01,1208.57,1144.01,1160.78,514560.21454,0.00253317
2021-01-07 08:00:00,1186.39,1205.7,1159.03,1201.12,239241.20032,0.00165953
2021-01-08 00:00:00,1224.86,1233.0,1065.0,1150.1,457136.18423,0.00171757
2021-01-08 08:00:00,1208.2,1270.24,1181.73,1255.43,340828.16003,0.00077262
2021-01-08 16:00:00,1216.93,1242.18,1173.0,1184.75,287616.62425,0.00137534
2021-01-09 16:00:00,1219.96,1235.69,1194.08,1229.42,193868.19879,0.00156908
2021-01-10 00:00:00,1276.0,1340.98,1273.82,1310.97,318325.25142,0.00340522
2021-01-10 16:00:00,1303.4,1325.0,1248.59,1263.17,362908.80802,0.00126049
2021-01-11 00:00:00,1254.24,1260.0,1010.91,1104.14,631801.97474,0.00177547
2021-01-11 16:00:00,977.21,1024.0,915.0,984.41,883171.42096,0.00039691
2021-01-12 00:00:00,1087.0,1091.36,1038.34,1088.52,339890.45246,0.0001
2021-01-12 08:00:00,1139.25,1144.11,1065.95,1099.16,429916.10678,0.00045084
2021-01-13 08:00:00,1076.33,1096.64,1053.79,1061.6,275185.64194,0.0001184
2021-01-14 00:00:00,1129.79,1147.97,1091.02,1096.39,232428.00407,0.00054804
2021-01-14 16:00:00,1212.99,1247.55,1203.2,1231.53,279222.47659,0.0007165
2021-01-15 08:00:00,1240.99,1247.88,1205.0,1226.12,208874.90779,0.00055774
2021-01-16 00:00:00,1168.48,1198.1,1157.77,1179.34,200202.60126,0.00014675
2021-01-16 16:00:00,1276.29,1298.0,1218.4,1252.59,317143.87898,0.00152456
2021-01-17 08:00:00,1182.45,1228.37,1165.0,1219.52,303403.03227,0.00050098
2021-01-18 00:00:00,1232.5,1247.73,1182.58,1194.07,208076.04408,0.00109082
2021-01-18 16:00:00,1240.21,1248.48,1211.66,1227.67,150138.28973,0.00109269
2021-01-19 00:00:00,1258.52,1345.0,1251.49,1321.5,466704.40297,0.00121462
2021-01-21 00:00:00,1376.72,1390.0,1308.3,1326.5,274089.35217,0.00034937
2021-01-21 08:00:00,1309.53,1312.38,1222.0,1236.31,541006.14541,0.00065753
2021-01-23 00:00:00,1232.61,1242.85,1205.7,1231.67,182335.82961,0.00015431
2021-01-23 16:00:00,1230.26,1264.0,1223.75,1257.83,175610.90937,0.00028319
2021-01-25 16:00:00,1434.95,1442.72,1354.86,1382.87,286266.95633,0.00093264
2021-01-26 08:00:00,1317.34,1344.82,1294.83,1313.46,215797.05351,0.00031895
2021-01-26 16:00:00,1279.94,1353.0,1267.02,1341.94,327272.10366,0.0001
2021-01-27 00:00:00,1366.54,1373.9,1300.0,1309.0,221868.08106,0.00036342
2021-01-28 00:00:00,1238.93,1290.87,1217.23,1287.59,203882.77686,0.00014794
2021-01-28 08:00:00,1284.93,1309.08,1260.0,1302.55,208220.74435,0.0001
2021-01-28 16:00:00,1350.43,1356.0,1320.0,1332.24,207867.54825,0.00056884
2021-01-29 08:00:00,1315.86,1429.99,1295.01,1416.96,713546.56387,0.00061388
