Date,Open,High,Low,Close,Volume,funding_rate,btc_funding_z,btc_vol_vel
2021-01-02 00:00:00,728.91,730.66,723.98,727.66,15010.36607,0.00025572,0.0,0.0
2021-01-02 08:00:00,735.12,738.35,731.5,731.51,10598.01213,0.00049233,0.7071067811865476,0.0
2021-01-03 08:00:00,799.74,801.54,791.5,794.47,22860.63584,0.00074404,1.1502349629836766,0.0
2021-01-04 00:00:00,978.33,994.56,967.76,973.4,46264.55187,0.00295549,1.1630733332376613,0.0
2021-01-04 08:00:00,1044.3,1078.93,1044.0,1062.05,68502.81417,0.00375,1.3241155258538437,0.0
2021-01-04 16:00:00,1040.0,1048.0,988.58,999.48,92445.19821,0.00085432,-0.4974786374449486,0.0
2021-01-06 16:00:00,1144.01,1179.87,1144.01,1166.0,58419.14102,0.00253317,0.5053342690101749,3.044784299585959
2021-01-07 08:00:00,1186.39,1192.45,1186.22,1187.2,13473.8355,0.00165953,0.39828869632039143,0.3421968319847331
2021-01-08 00:00:00,1224.86,1233.0,1214.0,1229.62,20082.662,0.00171757,1.125464458370794,-0.5876960770482085
2021-01-08 08:00:00,1208.2,1209.27,1181.73,1192.6,20092.62915,0.00077262,-0.3646639151600511,-0.3092862604300481
2021-01-08 16:00:00,1216.93,1230.0,1214.74,1218.51,31049.09606,0.00137534,0.14989533596560967,0.28241343409309083
2021-01-09 16:00:00,1219.96,1225.52,1212.0,1213.0,13998.28273,0.00156908,0.3413945054814887,-0.7107763607926187
2021-01-10 00:00:00,1276.0,1291.43,1273.82,1287.2,18388.67216,0.00340522,0.18580347826475807,-0.5322041895649823
2021-01-10 16:00:00,1303.4,1325.0,1303.21,1324.97,25344.74318,0.00126049,-1.5380211560130128,-0.10783167740803747
2021-01-11 00:00:00,1254.24,1260.0,1218.26,1228.07,29202.86223,0.00177547,-0.8576255070530812,0.6669691256984257
2021-01-11 16:00:00,977.21,990.69,933.0,933.46,90362.47078,0.00039691,-1.2010498748874665,4.875546532269269
2021-01-12 00:00:00,1087.0,1091.36,1052.87,1055.63,43976.67308,0.0001,-1.38339310578224,0.2775485201871358
2021-01-12 08:00:00,1139.25,1144.11,1125.52,1130.9,27231.33496,0.00045084,-1.0471392463114084,0.8076448879716218
2021-01-13 08:00:00,1076.33,1076.86,1059.51,1065.88,20368.08757,0.0001184,-1.2884408217266539,0.6711368145121042
2021-01-14 00:00:00,1129.79,1147.0,1129.43,1143.57,28984.97734,0.00054804,-0.24713649422019263,2.556428802396183
2021-01-14 16:00:00,1212.99,1239.8,1212.71,1238.97,34990.50974,0.0007165,-0.2791266728077341,-0.16656756260509442
2021-01-15 08:00:00,1240.99,1247.88,1223.78,1231.45,26964.13567,0.00055774,-0.3196289238887276,-0.832304202735945
2021-01-16 00:00:00,1168.48,1193.97,1168.0,1193.65,25536.70524,0.00014675,-1.3537779206970033,-0.2901441318972309
2021-01-16 16:00:00,1276.29,1298.0,1268.41,1280.43,55460.86259,0.00152456,0.2077559460624105,-0.06535327794930088
2021-01-17 08:00:00,1182.45,1185.12,1165.0,1185.12,40263.5022,0.00050098,-0.9136787590763541,0.16992232068884874
2021-01-18 00:00:00,1232.5,1239.77,1226.15,1237.17,14561.27182,0.00109082,0.14984866927034246,-0.48954857123477225
2021-01-18 16:00:00,1240.21,1248.48,1230.47,1233.39,15553.77379,0.00109269,1.9264987767652941,-0.4234969431173093
2021-01-19 00:00:00,1258.52,1274.0,1252.6,1258.19,34111.27241,0.00121462,0.29380795211056315,0.19520261569458278
2021-01-21 00:00:00,1376.72,1390.0,1363.44,1367.12,27187.01576,0.00034937,-0.4903432624964983,-0.595011373453094
2021-01-21 08:00:00,1309.53,1312.38,1292.74,1298.2,18927.59841,0.00065753,-0.23760060661173682,-0.23107503762292583
