Date,Open,High,Low,Close,Volume,funding_rate
2021-01-02 00:00:00,29331.7,29338.59,29199.22,29309.53,504.340432,0.0001
2021-01-02 08:00:00,29751.47,29849.11,29739.97,29756.2,627.030501,0.00020151
2021-01-03 08:00:00,34451.78,34561.08,33757.29,34104.83,2453.560179,0.00114744
2021-01-04 00:00:00,33000.05,33086.2,32657.54,32755.53,1429.136863,0.00164126
2021-01-04 08:00:00,32068.84,32567.88,32056.45,32416.18,1409.424326,0.00236482
2021-01-04 16:00:00,31745.71,31920.0,31125.84,31238.37,2604.210683,0.00056137
2021-01-06 16:00:00,34566.18,35076.42,34565.38,34938.36,2039.948261,0.00149253
2021-01-07 08:00:00,36863.04,37040.63,36830.0,36849.36,841.598352,0.00142744
2021-01-08 00:00:00,39432.48,39699.87,39234.22,39588.22,1011.612487,0.00213517
2021-01-08 08:00:00,38929.56,38985.06,38519.07,38676.37,987.124467,0.00092044
2021-01-08 16:00:00,40829.07,41077.06,40622.45,40693.13,1807.46469,0.00131892
2021-01-09 16:00:00,40525.16,40649.96,40322.58,40346.37,753.199291,0.00146942
2021-01-10 00:00:00,40088.22,40500.0,40087.15,40409.96,954.27925,0.00145604
2021-01-10 16:00:00,39671.82,39757.55,39433.63,39633.27,750.84739,0.00052988
2021-01-11 00:00:00,38150.02,38264.74,37360.96,37583.37,1686.326783,0.00086486
2021-01-11 16:00:00,31582.82,32250.0,30775.65,30780.01,5799.895739,0.00053444
2021-01-12 00:00:00,35410.37,35547.19,34702.65,34771.31,2309.12384,0.00033526
2021-01-12 08:00:00,36413.6,36499.98,36005.0,36113.7,1361.516848,0.00050855
2021-01-13 08:00:00,34986.9,35063.59,34591.68,34726.26,1594.731186,0.0002259
2021-01-14 00:00:00,37371.38,38172.22,37362.49,37940.58,2670.335284,0.00078331
2021-01-14 16:00:00,39546.01,39966.79,39546.01,39949.99,1405.439441,0.00068503
2021-01-15 08:00:00,38473.07,38622.75,38250.0,38290.49,972.61814,0.00064483
2021-01-16 00:00:00,36737.43,37391.07,36724.17,37323.35,1639.145108,0.0001
2021-01-16 16:00:00,37463.46,37713.94,37250.0,37352.66,1272.537259,0.00068496
2021-01-17 08:00:00,34760.91,34770.43,34307.92,34585.47,1865.71161,0.00030276
2021-01-18 00:00:00,35824.99,35982.92,35551.81,35763.7,1363.076461,0.00055375
2021-01-18 16:00:00,36405.99,36565.0,36100.0,36127.57,810.240134,0.0010355
2021-01-19 00:00:00,36622.46,36916.66,36578.93,36719.43,1162.475745,0.0006167
2021-01-21 00:00:00,35468.23,35600.0,35304.63,35328.41,663.835126,0.00042078
2021-01-21 08:00:00,34624.27,34681.73,34288.0,34386.23,978.485664,0.00048357
2021-01-23 00:00:00,32950.0,32974.89,32409.24,32474.39,1444.436196,0.0001
2021-01-23 16:00:00,31877.1,31940.0,31759.65,31873.51,570.067624,0.0001
2021-01-25 16:00:00,34458.31,34600.0,34075.0,34113.12,1676.253532,0.00042414
2021-01-26 08:00:00,31643.61,31880.0,31527.86,31602.26,1178.307973,0.0001
2021-01-26 16:00:00,31750.24,32122.81,31452.47,31475.52,3088.222636,0.0001
2021-01-27 00:00:00,32464.01,32557.29,32205.0,32236.03,994.030378,0.0001
2021-01-28 00:00:00,30362.19,30599.98,30080.0,30081.03,1084.986824,0.0001
