Date,Open,High,Low,Close,Volume
2024-01-01 00:00:00+00:00,42283.58,42298.62,42261.02,42298.61,35.92724
2024-01-01 00:01:00+00:00,42298.62,42320.0,42298.61,42320.0,21.16779
2024-01-01 00:02:00+00:00,42319.99,42331.54,42319.99,42325.5,21.60391
2024-01-01 00:03:00+00:00,42325.5,42368.0,42325.49,42367.99,30.5073
2024-01-01 00:04:00+00:00,42368.0,42397.23,42367.99,42397.23,46.05107
2024-01-01 00:05:00+00:00,42397.22,42409.2,42385.26,42409.2,32.26766
2024-01-01 00:06:00+00:00,42409.19,42431.09,42405.89,42423.95,28.13597
2024-01-01 00:07:00+00:00,42423.94,42432.74,42414.45,42414.45,26.49738
2024-01-01 00:08:00+00:00,42414.45,42420.07,42406.0,42420.07,28.00823
2024-01-01 00:09:00+00:00,42420.06,42420.07,42403.99,42409.96,26.40178
2024-01-01 00:10:00+00:00,42409.97,42440.06,42409.96,42440.05,22.61788
2024-01-01 00:11:00+00:00,42440.06,42480.68,42440.05,42479.32,31.81488
2024-01-01 00:12:00+00:00,42479.31,42479.32,42462.22,42462.24,25.25342
2024-01-01 00:13:00+00:00,42462.24,42480.16,42460.0,42480.15,21.40862
2024-01-01 00:14:00+00:00,42480.16,42488.09,42465.78,42488.0,34.04769
2024-01-01 00:15:00+00:00,42488.0,42516.46,42482.47,42510.0,33.40445
2024-01-01 00:16:00+00:00,42510.01,42554.57,42510.0,42541.27,61.90631
2024-01-01 00:17:00+00:00,42541.27,42541.27,42503.36,42503.36,27.71049
2024-01-01 00:18:00+00:00,42503.36,42503.37,42467.28,42474.03,25.78878
2024-01-01 00:19:00+00:00,42474.03,42476.5,42458.58,42458.85,14.51538
2024-01-01 00:20:00+00:00,42458.85,42465.48,42458.28,42459.31,19.02752
2024-01-01 00:21:00+00:00,42459.31,42459.31,42445.84,42446.0,40.51182
2024-01-01 00:22:00+00:00,42446.01,42461.1,42446.0,42461.09,32.82982
2024-01-01 00:23:00+00:00,42461.1,42473.15,42461.09,42468.18,12.69272
2024-01-01 00:24:00+00:00,42468.17,42491.1,42468.17,42473.93,12.20924
2024-01-01 00:25:00+00:00,42473.93,42500.0,42462.03,42499.99,23.92025
2024-01-01 00:26:00+00:00,42500.0,42500.0,42463.62,42463.63,20.32232
2024-01-01 00:27:00+00:00,42463.63,42470.01,42426.0,42436.0,32.69329
2024-01-01 00:28:00+00:00,42436.01,42436.01,42415.74,42420.41,8.77715
2024-01-01 00:29:00+00:00,42420.41,42420.45,42412.02,42419.73,25.93935
2024-01-01 00:30:00+00:00,42419.73,42419.73,42391.34,42391.51,18.10354
2024-01-01 00:31:00+00:00,42391.51,42391.51,42377.64,42381.99,12.99361
2024-01-01 00:32:00+00:00,42382.0,42399.99,42373.11,42373.11,13.11311
2024-01-01 00:33:00+00:00,42373.12,42376.0,42367.44,42373.82,23.24238
2024-01-01 00:34:00+00:00,42373.81,42373.82,42354.19,42362.93,10.40672
2024-01-01 00:35:00+00:00,42362.93,42362.94,42355.36,42359.68,12.28515
2024-01-01 00:36:00+00:00,42359.69,42379.8,42357.57,42379.8,45.75418
2024-01-01 00:37:00+00:00,42379.8,42424.21,42379.79,42416.27,60.49779
2024-01-01 00:38:00+00:00,42416.26,42419.73,42408.41,42408.42,13.82183
2024-01-01 00:39:00+00:00,42408.42,42447.82,42408.41,42447.82,16.82967
2024-01-01 00:40:00+00:00,42447.82,42447.82,42439.08,42445.03,17.29636
2024-01-01 00:41:00+00:00,42445.04,42445.04,42422.64,42423.8,14.3659
2024-01-01 00:42:00+00:00,42423.8,42424.68,42419.34,42424.68,8.01692
2024-01-01 00:43:00+00:00,42424.67,42431.86,42419.34,42419.35,12.37079
2024-01-01 00:44:00+00:00,42419.34,42443.9,42396.5,42441.32,40.80849
2024-01-01 00:45:00+00:00,42441.32,42462.01,42441.31,42462.01,20.20222
2024-01-01 00:46:00+00:00,42462.0,42465.52,42462.0,42465.52,11.60893
2024-01-01 00:47:00+00:00,42465.51,42465.52,42446.0,42446.01,17.62068
2024-01-01 00:48:00+00:00,42446.0,42446.01,42433.1,42433.1,5.09397
2024-01-01 00:49:00+00:00,42433.11,42433.11,42422.45,42422.46,5.22237
2024-01-01 00:50:00+00:00,42422.45,42439.45,42422.45,42439.45,9.00815
2024-01-01 00:51:00+00:00,42439.45,42441.35,42436.48,42441.35,8.63682
2024-01-01 00:52:00+00:00,42441.35,42441.35,42441.34,42441.34,4.23696
2024-01-01 00:53:00+00:00,42441.34,42441.35,42441.34,42441.35,3.9571
2024-01-01 00:54:00+00:00,42441.34,42459.56,42441.34,42459.55,7.29497
2024-01-01 00:55:00+00:00,42459.56,42465.08,42455.99,42465.07,6.3753
2024-01-01 00:56:00+00:00,42465.08,42480.16,42465.07,42480.15,4.58327
2024-01-01 00:57:00+00:00,42480.16,42490.74,42480.15,42490.73,6.03284
2024-01-01 00:58:00+00:00,42490.73,42490.74,42478.41,42490.25,11.52049
2024-01-01 00:59:00+00:00,42490.25,42490.26,42475.22,42475.23,6.42086
2024-01-01 01:00:00+00:00,42475.23,42475.23,42455.46,42455.46,12.61588
2024-01-01 01:01:00+00:00,42455.47,42455.47,42444.42,42444.43,5.70722
2024-01-01 01:02:00+00:00,42444.42,42461.31,42438.19,42461.29,45.55986
2024-01-01 01:03:00+00:00,42461.29,42465.3,42439.35,42441.2,15.987
2024-01-01 01:04:00+00:00,42441.2,42441.2,42435.52,42435.53,6.59804
2024-01-01 01:05:00+00:00,42435.52,42441.12,42431.65,42441.11,8.05643
2024-01-01 01:06:00+00:00,42441.12,42459.22,42437.02,42459.21,16.91346
2024-01-01 01:07:00+00:00,42459.22,42459.22,42445.92,42449.0,16.10281
2024-01-01 01:08:00+00:00,42449.0,42449.0,42448.95,42448.95,7.75119
2024-01-01 01:09:00+00:00,42448.96,42448.96,42436.79,42436.8,9.87553
2024-01-01 01:10:00+00:00,42436.8,42455.47,42436.8,42448.71,13.46823
2024-01-01 01:11:00+00:00,42446.44,42448.3,42446.01,42446.02,2.75677
2024-01-01 01:12:00+00:00,42446.01,42452.34,42442.73,42452.34,11.6603
2024-01-01 01:13:00+00:00,42452.34,42471.1,42452.33,42471.09,10.25242
2024-01-01 01:14:00+00:00,42471.1,42471.1,42466.32,42466.33,5.45585
2024-01-01 01:15:00+00:00,42466.32,42476.73,42466.32,42476.73,4.96801
2024-01-01 01:16:00+00:00,42476.73,42495.71,42476.73,42495.7,8.55967
2024-01-01 01:17:00+00:00,42495.7,42495.71,42493.58,42493.59,5.56665
2024-01-01 01:18:00+00:00,42493.58,42493.59,42487.44,42487.44,5.53092
2024-01-01 01:19:00+00:00,42487.45,42493.62,42478.07,42493.61,12.52454
2024-01-01 01:20:00+00:00,42493.61,42500.0,42493.61,42499.99,4.46182
2024-01-01 01:21:00+00:00,42500.0,42513.17,42499.99,42502.74,23.97695
2024-01-01 01:22:00+00:00,42502.73,42502.74,42499.96,42499.96,6.56761
