job_id,status,real_development_model_fitting_performed,coverage_fraction,brier_score,log_loss
v3g5job:378190139c137723f5b05f7ef5e18724c23fcebddf7fca2c29eddb8d8710f793,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:db205de4f22c7533839c49d091579f045cbf924d209be09e1b00d94cca316ff5,SUCCESS,False,0.7239488117001828,0.24899307343205332,0.691145359941769
v3g5job:9e52cfaa02043b50986d56ba52bb3be57e198579b3f717bbb99fc02ada41e690,SUCCESS,False,0.946983546617916,0.25285318003079194,0.6988860846268984
v3g5job:f069380e1b770db1b8705abea1e7a9bd0149196b8a501a08bc4c78ebaee572b0,SUCCESS,False,0.4936014625228519,0.2510559954686932,0.6952670579408243
v3g5job:e184328de18fc3646e1123be3083434534d6a5647f94a5af07210acf86281a86,SUCCESS,False,0.3857404021937843,0.250369344439241,0.6938837411255798
v3g5job:7adff54069f1cc77cff335b49b12583e67c7e3df9173626cb3bb84cb2cff3906,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:d20df8d65730fdfe804cdf6d09a53b348d8841693adf3d79a6e8041bbedc33be,SUCCESS,False,0.7550274223034735,0.25000354834641575,0.6932009180402353
v3g5job:80fef8612437e015949198ece1f134ed1ec635c743ea4258da9801287efa8aad,SUCCESS,False,0.9122486288848263,0.25296417595067094,0.6991099621113817
v3g5job:cf2007378bf7acee9074f547bb6e15f0054ac6f8a48b8c17acbbaac3874b08d7,SUCCESS,False,0.3382084095063985,0.2505116113336435,0.6941731856743019
v3g5job:05b6961719b291ed8a51087867b5a6b914e41fa1b34a011230f36e4bd1cd362d,SUCCESS,False,0.24862888482632542,0.2501344094212958,0.6934148231015981
v3g5job:b06f362f6af1fb2a3cade0c96776fe5b9446fabe032c48b2ecc0d1b585a06527,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:8611871212e4a38936e8dfaa89c3b14e0cace221bc0c82c04b491f8956116d39,SUCCESS,False,0.8025594149908593,0.24858364650020823,0.6903112727685844
