job_id,status,real_development_model_fitting_performed,coverage_fraction,brier_score,log_loss
v3g5job:512358af2c71b3348a39f7852a790e588861df2fff169f15d401bc32f3860004,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:585956a5c76cdec3632b69bd76a21e7102f49bff37a72718638e4370cc856bec,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:e669bd7ddb5655c2a12a7c50232422789143f745ac20b399ad3b642db34531fe,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:ce72bd286cbe4e7410cc4254c3d40a3a239856d9c9167799e66b4c1a62597881,SUCCESS,False,1.0,0.2508266147167538,0.6948290694461395
v3g5job:f20f0bc3c05ce515d639c47c54b2d306788f18df787f2ba0551b11d56f6254e2,SUCCESS,False,0.708029197080292,0.25024953668001165,0.6936463062775342
v3g5job:c6447862451fa2f1dd1005abc3900b338f832c1c50417c65ebe0b98af6335669,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:a8a4e191c59b4c708cd198ccf893205b67a7ac579aa320d7ccf548755dce1a1f,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:e8bf763692c07e5232a15f3548d11f178ed7dea21b27debd1fe0f36bdb3ef6c1,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:8b24b19895b8a10c76accdea5ed6828582494c597e3cd92664e144119aa444da,SUCCESS,False,1.0,0.2508196616443669,0.6948224585490769
v3g5job:9b2dce2003abd2577ff59072ee87dfeed7b7b34d12bd23040a5614028884ae2a,SUCCESS,False,0.708029197080292,0.2503908906392192,0.6939303975593876
v3g5job:ff1bdc40a808426544d0227a2368d879100ae77a6fb602809dd1cb9b55cd774d,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:1fbebcd3602d1605fb3febf03fe47ba3e07af05b211ff282dd1e71ea4633cfff,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:2b0457a30753e0947dbffacce5904626c9eb810b1052e22ee5f9ac7d0c3a2ea8,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:7c3b2202d5c7188d024d1cd636414fde5f46bf4ecc300ba1bf21e7eb0a6f3118,SUCCESS,False,1.0,0.2511833885247217,0.6955697379101297
v3g5job:0c5250b43dbb31ad51a987a2fafa0a42346717386c7a82c321e0c3932680ff07,SUCCESS,False,0.6642335766423357,0.2502055567709034,0.6935578535322932
