job_id,status,real_development_model_fitting_performed,coverage_fraction,brier_score,log_loss
v3g5job:a6ae17284d137a88b4cd04a225dfc88c7572aec970bec1820f79215a3da5089d,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:a41c930e8b981a8452a98f717c774bb8a12e16be2d1c3a53e53bd838edef9a32,SUCCESS,False,0.6979293544457978,0.2497527221445901,0.6926528703255743
v3g5job:6d662a8845fa3169519943d8d3887445fe03442f2b803b9e83136f030ce8ba71,SUCCESS,False,0.6784409257003654,0.25078644346892714,0.694728747912885
v3g5job:234400636c93b7ab13eb5690109e544d7b6f60081304e8a047da8098a9d0c572,SUCCESS,False,0.5286236297198539,0.25021025510511946,0.6935669131505119
v3g5job:d03c5527b7d44b2adb810252e5cb43bfc739c65c73879e80a451697d1975fbf4,SUCCESS,False,0.49086479902557856,0.2498133838709503,0.6927738789239839
v3g5job:900773c003a3f35d0e62d6edeec71302081cc09ef374bf764c38e90d6c949563,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:f91d2b54882f943be8ae39fec9afe951d30fafeffe10cce1a4986243d42a7226,SUCCESS,False,0.658952496954933,0.24975669128467212,0.6926613404220817
v3g5job:07701a507a2bd140fd89452a13b5d9b31781903154869a976e6b07225453ca4b,SUCCESS,False,0.6613885505481121,0.2509173810796606,0.6949867964751316
v3g5job:d6edcd8d6c192b3d22dfa281d574fbb243f65f4a753f04d694f9b2eabbd01a6e,SUCCESS,False,0.5639464068209501,0.2501140183273889,0.6933750942909312
v3g5job:cedebe7717d47dfce595dd8cc59b80a759d48e3dfce5008e11550e9a0e5e128d,SUCCESS,False,0.4701583434835566,0.2497048640030659,0.6925554427088723
v3g5job:c297c681da2c932f4622e3b2964c22e8a8fece1251381d41ea69e58d5fdf4b40,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:e2b8c7b698587b08a4723dc59b9fcf084d8d32a3e8e9ff95cd2e2ef8bf1b6139,SUCCESS,False,0.6419001218026796,0.24969112236269078,0.6925313205135367
v3g5job:68a83b98742436adf92eb186f2205d328d1c19f1a0fbc41faea8015e7a2329bc,SUCCESS,False,0.6833130328867235,0.25082746333213113,0.6948058954109679
v3g5job:a5c52c61df1910dab348a2ac1eb5a2b3b1398dab574fdf345ac93241118598af,SUCCESS,False,0.5493300852618758,0.2504757696985912,0.6941008072502941
v3g5job:83f878af5b63d0981fbedc93e608824131a77347ad2c70fef88291ecbb264b11,SUCCESS,False,0.45066991473812423,0.2497780206369826,0.6927030985098646
