job_id,status,real_development_model_fitting_performed,coverage_fraction,mse
v3g5job:8a50a32c3cc3811b5d0e20ee51e0101c8fa497758e37b69438d9840747151de8,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:684791bd15e0d8652182f98473dceb8e1226b3abe9c054e8c7d659b275c0525b,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:99d95925a3d9ed16ae0b52be665efa1931ddb6aad565b93ac3e8d0c60ac5a030,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:2ca936aa0014ed98dd16463fe1b3142782b423f8881dcddb0cd9ed94a0efb6eb,SUCCESS,False,1.0,0.002376454547602259
v3g5job:bd9f8733a40418d944094abbd056139cb70ff70aa95066bc0ff6500c6f0d7151,SUCCESS,False,1.0,0.002245288206757612
v3g5job:6b4192c3086e6545752931f2ffa5488d2ac13dbeb2ad24ffbf274420f03afbca,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:55b166e2cd09b6627c55a96e5e79ef42cb3228b911a7b97ce89121179aff682f,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:7d8898387c0d0822b32063bbb321e14b48ede7d87bc3c94fe3b50c0108b23ca4,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:658955ecb20c8aa5ae27023c1d25be33aac4e4b99f475f00d7b44420558c8899,SUCCESS,False,1.0,0.0022042735180468087
v3g5job:bb1332afb7146f0a6e4ad1d2673ce4e96fa7f145ff556cdb83cc437f36420ee1,SUCCESS,False,1.0,0.002098391525552015
v3g5job:6193cbe1f9a5963ebd59b33265d2ce92ec997b0e1dbfcfa0b2549b723775e0f6,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:f920ad57f969eee11b085bffb9fd7ea63f8790bfb08e0f8f80e5269fc4a0382a,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:308f3f2867dff8f191de9ca0f83872d8be424835e1dc9efad3627d616898368c,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:1dbe1c9d019548ec33081cbe9ca19e67c49845befa2da70b6dc4b7c55a5cbe27,SUCCESS,False,1.0,0.0023450413833636125
v3g5job:694bac81d2a114481293399ca231199844695115213292cc080d180128a03c09,SUCCESS,False,1.0,0.0021412526957969263
v3g5job:e88e4b43fe5ec6da91af5025211b8814a82dd2d1be87ce8901c641631abb6ac1,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:6d79f1049a8ac5bb9d889b0efb3ac39887085d3b41240444653ed3a760b1fb1f,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:e27a99572d4dc5a1e3d57f56ddeadab3ff19ef8c3f4ff5fa0f54448741a816fe,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:63157edfa78022c172ea5086e176fee8c0f4481552b9b251cca0618f33ba9015,SUCCESS,False,1.0,0.002278790420343678
v3g5job:4a653927a7733e8f1fa581e84527fdb12b77ac204f8dfa81867d1529ee2d033b,SUCCESS,False,1.0,0.0021578768067963207
v3g5job:5522b85bfb8ecdbadbd144bc996101e62e66c63654805e8f9cdafa5a1eb5afaf,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:3de633a4be6bb7cda5332497254b096363fedab70ed49d51e642e680ab5e9edf,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:de493177cb02bb5bbad1231e13ea8154d5f6eacd44f8a349c9541ad537fd4d31,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:9e21e2582d0c69afcf91a414454ce3bd20cc9d94e10dfb4fe1e201e87c141c51,SUCCESS,False,1.0,0.0021972385037572384
v3g5job:8d4526fdc95ee1f21172007a5c6af619d5972bda679cf749f4efb540ff96c165,SUCCESS,False,1.0,0.002098183084139729
v3g5job:1b187f190330369bcc22a1ab44cebc8a16eecd770b6e009a60d2ea69a3fc8b54,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:ae6a5e580f968de7085442f9848d6b13a0323e3d88a547ec81b1ecf1e5e168a4,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:cfa18d25197253b0404274b5bc77ef4bd7678832a44ee055c40583c42eba8850,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:2f831360621bbfb6ad4a5744b634dd22f54bdba23379154018bc5576e90ef72b,SUCCESS,False,1.0,0.002379815915252376
v3g5job:cf042ef04319e5040c5495396da21602ee429f23ac72538394ac37b632d00919,SUCCESS,False,1.0,0.0022427119976111127
v3g5job:922d3e1bd89ad005ff2c20d13a1f2e43105b07d4c03d89d49ff2a08605ffd413,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:10a8d213d74b3740b61430ab6b4d851b190c6750066f0b88949ffe91752544cb,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:5ad403ec9cf7f9dd2206e1a6cd321cfd7df7a1c21676ed2cd6229a89fa0d57b0,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:680c1c089abd1836775cf56af8a79d6d79aa7f65026688215a36e3c7c71d126e,SUCCESS,False,1.0,0.002312327667586877
v3g5job:b25bc6fb82e1768f9678d486c92d9ef5d0df89b5a5e8e6fe592b141864080026,SUCCESS,False,1.0,0.002135565205939159
v3g5job:0a140d16924ed77764f669540c238567c181d3afa75e42c0d22f84ae6707bc5f,SUCCESS,False,1.0,0.006909682581905664
v3g5job:688621f44c32323f1ddbe3f669b5b1d5370ce9dcf978fd487a9c30d91118bd70,SUCCESS,False,1.0,0.004730931325639308
v3g5job:aa1d744f76e989fff8beb93f1476773bf4927707b63ad89856989656b4d5f266,SUCCESS,False,1.0,0.002635701823224555
v3g5job:da107d8b3916ea07cb4baae00b98c716fc4092213952b714a807a856ec3dab44,SUCCESS,False,1.0,0.0022427571081290124
v3g5job:5a075f137db0cb37a42747a118174681ce1a21a887c0c13dd0e801acd79ea493,SUCCESS,False,1.0,0.002186479890370808
v3g5job:e6c3882933cf9b09f6faa176f3179d6b6072cd9799e95af0e35c20aebfebb378,SUCCESS,False,1.0,0.006824531073187415
v3g5job:1a4d5bab3287bdd06c8c4c1fdc7d973fda6d4ff3921a9ef8f69e773d8ff8fe1c,SUCCESS,False,1.0,0.004990865192484896
v3g5job:0cad82fd989a7a43ab2a5c585473a42046d8670192aa2ee41ac17e38879df080,SUCCESS,False,1.0,0.0027064269555208634
v3g5job:4820025596ee386804ff65e4d3e3550f8ddb0811ada552d39f6fef65a810aa1b,SUCCESS,False,1.0,0.0023075274131088793
v3g5job:fa7d1efe0d2b3aca8374834977cc47d2c03b98e9df39766a4f7bd30faf3949f8,SUCCESS,False,1.0,0.002233782015508414
v3g5job:13d79885842e62087d3120d3e74ab5e92af9da60ad504eb63ffd338252941d66,SUCCESS,False,1.0,0.007246416269501692
v3g5job:e680fc926f624fc556cf62c0be7a2871aebe65d0139d78f791b57b5fdf1c927a,SUCCESS,False,1.0,0.004950181526142656
v3g5job:6316805aa176fa63534fb65a6eb6f28dbb05748bb6ac645029868498baa13bb3,SUCCESS,False,1.0,0.002682735034211509
v3g5job:2e6caa645d8b0d11bee7a2691dbe7e4cea362747614b4cb3557d93db6151fafa,SUCCESS,False,1.0,0.0022791011180202693
v3g5job:6a8ae870d07e69a85f13c2eda68729c60490f3f38c6a798d4d6dcd1a5321fa58,SUCCESS,False,1.0,0.002206510358022545
v3g5job:94c626a7060e1c6f2a1cc33d1423e8f801e180400d715efb4e80a10b848d95d9,SUCCESS,False,1.0,0.007528722267475604
v3g5job:5371aba2422d772338404b4a147d766fb64049504bab63f80df4df4dfdbe434b,SUCCESS,False,1.0,0.005067280499662966
v3g5job:924cb17a6742b984cdb5aaa1de3b3a86f78b96e9c4ae7f747cb435cb876e3e8d,SUCCESS,False,1.0,0.0027681894593409215
v3g5job:ec375ab21a1789e6bcbcfc45ff2a207e39538456629c69ab9a9fe67049d3e818,SUCCESS,False,1.0,0.0023455862589156144
v3g5job:d185bf90b677bae6dcc33275bd1c34a2bb4dce559eccc6dc25eec67383a7d4d3,SUCCESS,False,1.0,0.0022600183557135067
v3g5job:85a004563118e95ca82db8a4601029ede91fce3d9879894c25a885c84bb307db,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:c2408647c96c2b870885b339323e0584690a637ef2919b12cf4a6a6be4d5d1a2,SUCCESS,False,1.0,0.0048754159885376356
v3g5job:ebb54f6be879e41b770bfe30c45d7da7309e34e3346ffa5be52ab3532025fa46,SUCCESS,False,1.0,0.0026465751647624983
v3g5job:343ae13e942ce99339ad6e4d89f370ffa155de9ceeefe6897ca78df2655e9dc3,SUCCESS,False,1.0,0.00253757871915948
v3g5job:774ba8ac8049948e584814f6bf2898d4f48b44b0c9e5fe118e51a9bf0d383d92,SUCCESS,False,1.0,0.0023183257037376766
v3g5job:7ffc55ffe57eecf74ba938ff8856b84e7dc5d9becefc86a971bfdf27020792c8,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:70b5c814c30a908195c98fceb8e1974761d30c5ffdd2da1398028b9903ee33e4,SUCCESS,False,1.0,0.005089488791527167
v3g5job:b981c677fe25b60777c418426baac1db1a449cff171fa9899c7a46667fc0afdf,SUCCESS,False,1.0,0.002795911358870586
v3g5job:2c41bb495152539a31ab7b59bd4d60722956d56e82036bc24729eb525fa4905a,SUCCESS,False,1.0,0.002683354022400583
v3g5job:90fc28fb67c563f0857f2800a9e3a70bc646223add659f88048eb6856e5c842d,SUCCESS,False,1.0,0.0023537202515180196
v3g5job:43e5de0a760d6ca2a735d54c25c87672fd1a83ff7c91cf2776165df0df3134a6,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:c4eee9963dfeb782cf1cb645ee81751bee7b8272cfb051fe2be21e5c91aff509,SUCCESS,False,1.0,0.005196524792878144
