job_id,status,real_development_model_fitting_performed,coverage_fraction,mse
v3g5job:0c9298683473b8afa9c058b15940de1136869b1b9e321aa1d5180fe2bbbd0525,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:61ce8a16573720002757f61b174a5200a8d311192e8e1074cb414413ae9ae572,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:89df1e87b40ed7d5b0e856f6831587ff2c0b67150c2ab8a5df7192de32595dde,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:35083980231a43005599a6f3f5dfdd33a9e82d77faa201d1e859074f340351ea,SUCCESS,False,1.0,0.004044861776534691
v3g5job:da475b15933555919fa18eabc26fdee5bdccd1549c7b44358596fb370cfa0de0,SUCCESS,False,1.0,0.014315547682933657
v3g5job:eec32de07f90e3eb6572a983d023888b2c6443280f7a161cd481c8c349dbbbfb,SUCCESS,False,1.0,0.012487861351163894
v3g5job:c032277e6fc3d1476600c903e55e9f335f07ce4eb32faf6a1a9fd31f7e717f5e,SUCCESS,False,1.0,0.00944068036112671
v3g5job:142731d433cc2a5ad49c352ecd961fec33085ab04335290c95cee7bf9214b00f,SUCCESS,False,1.0,0.005081002291955998
v3g5job:cfd565185ac14ddafb369a73a3c73532baa073b368b5a825657e3ac21c62d8a3,SUCCESS,False,1.0,0.004021640374093163
v3g5job:858ae366074642227b20e12bf65e23c532f5cbd6e296ce746502da5b29313e3a,SUCCESS,False,1.0,0.004078016656879424
v3g5job:0a093dd8293d50165879b05e16837282f0b6677d490e2efb95fe42f93259c218,SUCCESS,False,1.0,0.012724457364829423
v3g5job:51ab2d3aade51ffecba920915395ad358e68e1c6530efaa730989c510a6bb973,SUCCESS,False,1.0,0.009463330910865448
v3g5job:7a6367fbe903ea115a9bd49e47184ee3e8e8a74f199863c0541e01a924aef836,SUCCESS,False,1.0,0.005088824292255853
v3g5job:910dd0e09949574aeafbe7b34d0d66c54f87d42d90dd0e0a9c4ecb4704b98eb3,SUCCESS,False,1.0,0.00402413589636946
v3g5job:fa78deefbdb7f1c5490ebe335051d257c11672ce43d5723e76fdc9e63267d0d8,SUCCESS,False,1.0,0.004079701611681936
v3g5job:314643a471dc87c2ae59af86708a7918df3b723fc3641cd50f6ebd82083774fd,SUCCESS,False,1.0,0.012679681587229747
v3g5job:6900e449b82536d8b71f7cc31d3c9f840f019a597b381c322f19803bbb14b6c4,SUCCESS,False,1.0,0.009460925428139139
v3g5job:c1ac25fe400e0bbf41ff70ccceb1b75a830afc9f3a05f39eb10f3efc66165a77,SUCCESS,False,1.0,0.005088082232825094
v3g5job:2173fb404980817932e9e6d31c349c3c0bc9edfae46250e481f169cecde687bc,SUCCESS,False,1.0,0.0040239032383927705
v3g5job:19785270d517c1ef50af7267e0bc1669fce8760c08a2e61d0f85cded388f2ff9,SUCCESS,False,1.0,0.004079544660285397
v3g5job:6f38adbe1de3531013fa9b6b7a4df45bb17a50192faf06b4f95be0f776704a81,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:dae305d730112ef2f9b375988e3e6305f5fd0d5e14ad36524a23e86d1b239627,SUCCESS,False,1.0,0.009179485819743849
v3g5job:5f526bcf00829381ca925999b9b1f692c14fc3ab7a34d3bbb413de288dcf5d31,SUCCESS,False,1.0,0.005501365885688482
v3g5job:63da9fa38f09ce3bb27054a3fd5611d241d91b110d797e787d4b9803e44c25cc,SUCCESS,False,1.0,0.004438366620976425
v3g5job:12663847a7513129d8a2daf3ba6ac65baced8a6f9a5cadc7746942c93ee0b05a,SUCCESS,False,1.0,0.004271034515214316
v3g5job:14bbf1a010b04bd0d0063be731269201a66ffbea8cd04013d150132085fbba2b,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:060482d9cb4ba277738247af6b1cb752af3bcc9414033c085913da82c396a285,SUCCESS,False,1.0,0.009201987320746076
v3g5job:fe88483634f8e966ab3ee657f506a0ecbb1c81fa8accd572f678c2dc40f93054,SUCCESS,False,1.0,0.005517916396793412
v3g5job:e0d8bab32b9e8d4c56319c02ade2902cf6419930788bc4e58aa2af356f1a3546,SUCCESS,False,1.0,0.004445076790951365
v3g5job:d78b4c818201f2594b52d3227eb3faf07d808ec26e1baaca2dc454ffb388d7e4,SUCCESS,False,1.0,0.004279808945568841
v3g5job:27a7d5ca062e5251727b913033b6552ff2fe7c14e6fdcd8041faab8855806d42,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:31207f631836bab1866c7a38cde886c98f4d08973758aeb3888a16df18239d4a,SUCCESS,False,1.0,0.009199586258825916
v3g5job:f0f48c9dd87a4eb147c0af5173c885102dfa0341c36a9cdad81a80524a86a26d,SUCCESS,False,1.0,0.00551623630753522
v3g5job:cb39587f7a4b29de453e006a0597ce130f5c398e6e59343a8129118abf2c244e,SUCCESS,False,1.0,0.004444446297814233
v3g5job:dc7ce3879c65ff1850d059c3eb1a83b953c75bdd6c0ee15252a428d413c87954,SUCCESS,False,1.0,0.004278950884955389
v3g5job:e6cb39c02c07e2ef75278f51ef1b8e644c852298f7247c5c8a8d0421e926c724,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:d62e4683937b48d9e9454e2300b84fbc50953d0379b7a41d9e08bd38582f6c79,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:f02eafca2b782c52580e17930696a8bc183fc1614e34b57bfeec3cd0cb2c5787,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:2cb69b333bfb1a6e60340cc6f48aca48ebfb9b29bfcae0f0210c22fdf58e7cd5,SUCCESS,False,1.0,0.004041465456999304
v3g5job:67b0112958f8d80fad17615efd48c9c7b6e46668fdd9468febc2892a8dbff413,SUCCESS,False,1.0,0.004117937994327283
v3g5job:187dfa915ff86926ebec87ba713c4a0ea3e165ef3debae589ffa47ec7389ca40,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:4ef9fe3b98e5f2e65657fc965f05cd84f2b0c85ccfad08636ee3578e02c12141,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:0135558815f29690a104f0f18235935f5f6f76a6f509d09190666f492e6dce8c,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:b82c11af09cc4bf11e2d589b8434da9ae0bbce5ff0ca7c2e6af29985f24b48c9,SUCCESS,False,1.0,0.004041284327890589
v3g5job:872b94a404d6e51e4d256364c7fa789fe128ea869721747a084ab836d4217ea1,SUCCESS,False,1.0,0.004117710627501815
v3g5job:82b0007fda6a4458c1b318c58cb032d3f1e40953da3458b94dfd7fcb38b39fea,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:c0a84b0993eb106da0852ada051260be74a887381af2ca472b57306ef70552c3,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:6ac76380ba55ec42e708aad63d3cc6ac66457ab43ebb1f72f5c5f51c0208d564,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:b2db15d451897e662ed90f51518693079297a4ce8ea5453dac936fcbf4e74e8b,SUCCESS,False,1.0,0.004039531947098718
v3g5job:7fad089e3ff479388bf3e84a243f0e1c830c79ddc1acd4472f3cbbf42d9e0250,SUCCESS,False,1.0,0.004115544992529793
v3g5job:db52fcb6a564bf8cd86f8f6dfcf66ed393b11f95449b5ee69a60ae8ff226efc2,SUCCESS,False,1.0,0.012579169886189932
v3g5job:62c96cb6529ee14adfdd7f311b66dda29be005388a34f0f9663ded973b69bb43,SUCCESS,False,1.0,0.009962945660980719
v3g5job:7ecddc60544c226450d6c37d55faa1d6255be333d3e3ee8ea21c8b3e1a07a936,SUCCESS,False,1.0,0.00528871115172086
v3g5job:312e8e8aadb1a6096e40137ec0a6ae800f3f017a129de022e0c65c0898be828e,SUCCESS,False,1.0,0.00411659794227426
v3g5job:243b079fe5c37e0efac8c82d5b30410ef3532397cb8e5b72651a4c819d5fafe7,SUCCESS,False,1.0,0.004019434054571166
