job_id,status,real_development_model_fitting_performed,coverage_fraction,mse
v3g5job:45feb59ff66ed4113bf61c67c9bf44fd251a31b39f51c3a7932aedd8b01c5932,SUCCESS,False,1.0,0.021048498168549878
v3g5job:20982a5429a48a4d982936538048d52c6f4d68145a9d5a0c3d3cd37c6b017999,SUCCESS,False,1.0,0.01626090558476506
v3g5job:a876dbb5375cdcff94ce97fa53793af359aec46ca75a6544cd2f0fbdeea695c2,SUCCESS,False,1.0,0.009170320281625722
v3g5job:0bb4a56d2fe2137a9cb654af9ba5eab64f311c3d5d02b059ea8f9326ac273e6b,SUCCESS,False,1.0,0.006852106975816902
v3g5job:81d312870914d4f9fc3e6ba1046ed6336c17f86b1910986305e2c0c384e222c8,SUCCESS,False,1.0,0.00658537229772509
v3g5job:c6060d3aa53a86e7126780116a51ceb77740cd166312774726a800853e3e639c,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:8a2e080600476abae565692fd214fb5f3e2f91eb4386364895b6cd931dcc93b8,SUCCESS,False,1.0,0.016391084066690743
v3g5job:5a38d7b3ffd50758fcff97a1dea088cfc618a761090df8e1db68b75133a453d4,SUCCESS,False,1.0,0.008577828660920389
v3g5job:316a267ecbc76e7f31025f14da86e61fcf6f392f8dc3f62e5abbb612c0fba420,SUCCESS,False,1.0,0.007191620248212655
v3g5job:9d3b63fddfec01a5238a1a9b074db78a06936b9750aece11f292888e768df964,SUCCESS,False,1.0,0.007228023466511719
v3g5job:796f2e49c12de76c3ae14c54488c6f6dae975dc310fcdf5a2a61558377e3d01b,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:b51c0fbaf1e7b7e4b7ff3d08e23d9a0753122df69e2829782bc35bcb404520c3,SUCCESS,False,1.0,0.01607309974875276
v3g5job:c04d7477414f4fb6e8a711a62179db737e6f18203b2666694227a0bb660baa1b,SUCCESS,False,1.0,0.008300163526480135
v3g5job:d7dd8b80556f1a2acd7f39b3dd4776bab180571534b738f23470760e7e97b1e8,SUCCESS,False,1.0,0.007111844100866746
v3g5job:e11859750c71f38167116b90a9f92608efe870cdfb47b3a2e0e0c52388df0e36,SUCCESS,False,1.0,0.0071835744686295
v3g5job:73a63cf64bfc34473eadcc9e67fd31e1d206eec3e0910b3504ccf9537efc9df5,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:59d5a3d480b3820cbdcc08ec73ad4afa8733a7ae12e1882657d9906e0b70fbe9,SUCCESS,False,1.0,0.015810320000463857
v3g5job:08e99a3ed52c5e328b636921828356f9a878805dfa01c5bc55f9171767c7457f,SUCCESS,False,1.0,0.00825831533271232
v3g5job:9c1dc82f824ab8d1750534cfdf794180cd6bc61993f0ba62a6a1db86fec823bb,SUCCESS,False,1.0,0.006695901514912634
v3g5job:5239e5e3cca8c4ac8d92eb618322c04d7991b6c71546422e95b6f07f28139837,SUCCESS,False,1.0,0.006958420028263554
v3g5job:ae0e8fa0d73dbdcb5750d3973cba4a31127e0c3b8128a10c10d6fcc8239465b1,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:5730ac678d9a4e8c2fe05285e0f53b3acd7f31089c0b2a5b54b44255ac8dd657,SUCCESS,False,1.0,0.0163664143266219
v3g5job:9c10384d74d5ffb3d6994a351e446ed2b26f51bad033beed4612ea2ed8004f42,SUCCESS,False,1.0,0.008535173747832053
v3g5job:957777267d89eeb68a56cd8d331fd8c219bee5b6c34a4e130706bf7490e5e320,SUCCESS,False,1.0,0.007206551885922063
v3g5job:db3ad04d3b307aeba78dc3cc97942b2efb6f4d757c9bfe7f9c0df55a9bb67104,SUCCESS,False,1.0,0.0071859148027333675
v3g5job:0e5bc99de3e483c582b64f718923531710fbae27dc3e8031b6f5ea35aef1a69a,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:579b8cf30cdea324a4adb889c1fabbcbeafa737a0be221551503331bec7327df,SUCCESS,False,1.0,0.015665086958114246
v3g5job:c2f56114ea22c4ffe551205022deb0aaec506ccadf6c54e3b9ef1e2d3842c2f3,SUCCESS,False,1.0,0.008261252880242256
v3g5job:9d553a8c5eeb982e9f4f24bfdf741aa4fff7649dd08be5e65411f466f66e053d,SUCCESS,False,1.0,0.006692500083933097
v3g5job:c13f330f7f4edebd3e6555ee18b66f058196bf0b12ac120c58302df5ba52fb58,SUCCESS,False,1.0,0.006914471806952995
v3g5job:e74a82e276c22e11b74070e7031367c5bd7170bd9b5c2e82de4174806501d1b8,FAILED: Training fold is shorter than the registered rolling window.,,,
