job_id,status,real_development_model_fitting_performed,coverage_fraction,mse
v3g5job:60af0cd8c4e871a4caf855a7f149e71b1078907d7a44b0f164ffe64233422014,SUCCESS,False,1.0,0.021778075258349457
v3g5job:44da8298b76eb7e41279a5cd8deca72bd56bdabc50e369f5b40b79bd3628ca30,SUCCESS,False,1.0,0.014834985503069937
v3g5job:cb7a48b76760c09c7adef12005d28664a27482bd4a81c881a293c4ae8782ac2c,SUCCESS,False,1.0,0.008002691197575766
v3g5job:bfe97d3525b8e06709377bccaed207afdc64d0d52db6c3aa9166f7b4beeb23f5,SUCCESS,False,1.0,0.005951409393817071
v3g5job:26c0acbdca5a5711f14da5f16dd3c7e8412d84bdc5294c6474da519ec9721b05,SUCCESS,False,1.0,0.006183462218401036
v3g5job:a1aea655fd34bf47285641301db453713450adc9620a80f8d5a8b06c312fae93,SUCCESS,False,1.0,0.021947817225564985
v3g5job:fb91bbeaa2c5420ec5405a9a9d5bdd163e57b4e97c21bb51d493b7f7217e48fc,SUCCESS,False,1.0,0.014872399471710838
v3g5job:b16b5aca6eacc29f088144db1062767a0f040c3848b810144ada6ef8ad0b5577,SUCCESS,False,1.0,0.008012619158115068
v3g5job:9ff4ebf18179d5dd02f02946e6d6c971ed5b4291e51e8b24a9dac241336ca16d,SUCCESS,False,1.0,0.005954471871811136
v3g5job:482f949b2fa5df808c687f36da829c9713f690559138f4e6fb27a772e1d139fa,SUCCESS,False,1.0,0.0061847978235159955
v3g5job:5e602d0e8e203d46c98727305e7cc0b0b6fecbbff3c05ac43f4e9f3f26ec8bdb,SUCCESS,False,1.0,0.021921704802844718
v3g5job:a732b45b6adc2f09af2f5501fce599b13fe398382108ef673777b9076e772950,SUCCESS,False,1.0,0.014868251571964837
v3g5job:0e1b75b6a507d7a409f5988aee47c4745c2704b226af3e03478488a7419a882a,SUCCESS,False,1.0,0.008011687370087032
v3g5job:01bc81e56f5b6a6245aeff44c36bc59019043b57af4358382be3ceeffe4fc9a7,SUCCESS,False,1.0,0.00595418473162374
v3g5job:f83169257659680a1258df235840d3c92d77ba3210c057939e453780deb6401f,SUCCESS,False,1.0,0.006184672949095803
v3g5job:7dee8bd7dcd98628abbbd54fe8b58682aabb3aafe3d1876ac8c11a3baf66bd9c,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:87bd33b0c8af5887ec2f403307d026a7a0de8a44b52e1792ba2b3de1c7234b3b,SUCCESS,False,1.0,0.014388622694317163
v3g5job:a21cc229a3c77bee34f7d0e223b6a0fb204b84bfa51b10cdab26f2e789bb8461,SUCCESS,False,1.0,0.008734443870153192
v3g5job:896acc0829790ef3b426287a8b672f387c4ac699026684ad470e79e8f8e9d898,SUCCESS,False,1.0,0.0065748866849021734
v3g5job:b9c9c85145d9f1ab6099c2d5494cc2224bd56cd1a4106d250a621bf14409e2bc,SUCCESS,False,1.0,0.0066159806712650345
v3g5job:4e5eb781e7002b320cb6b6d92025d88cb5c3934bbf7d85513476e29ce23606d6,FAILED: Training fold is shorter than the registered rolling window.,,,
v3g5job:ff736c13a54e3f68efbd4fd2667cadee759a804b0ed05853e6b1df287177a8d7,SUCCESS,False,1.0,0.014418983961942137
v3g5job:4dfa0ff1bf002577bb8f392f4ba60031ae5b65bc7ecdc405e78082a923972fab,SUCCESS,False,1.0,0.00875577152644251
v3g5job:bf19cc2889759fceec3e98d7efd7418c60a692d43b0fb83ba55d7a104c3d162c,SUCCESS,False,1.0,0.006594450619481613
v3g5job:ad799e489a456b2a111e0e8951386b1d3f038b8418250158aab2bf8a807c8f84,SUCCESS,False,1.0,0.006633229551625408
