joint_tail_trim_fraction,retained_rows,retained_share,mean_incremental_log_loss,predictive_mean_positive,mean_incremental_net_return_10bps,economic_mean_positive
0.0,2318,1.0,0.002108928127149556,True,0.00013019590915840315,True
0.01,2225,0.959879206212252,0.001797344512464039,True,0.00016481368408547155,True
0.025,2111,0.9106988783433995,0.001774736439495339,True,0.00015679763228694816,True
0.05,1940,0.8369283865401208,0.0013048811100667597,True,0.00010234088378501133,True
