active_confidence_stratum,rows,minimum_confidence_distance,maximum_confidence_distance,mean_confidence_distance,mean_incremental_log_loss,mean_incremental_net_return_10bps,predictive_mean_positive,economic_mean_positive,confirmatory_effect
Q1,114,0.05008642128692531,0.05767133089821286,0.053512328179348846,0.01095735952629735,-0.0003967203187727421,True,False,NONE_DIAGNOSTIC_ONLY
Q2,113,0.05769274893242016,0.0687515664412881,0.06324647571241195,-0.0015833018903373705,-0.0005471161091434762,False,False,NONE_DIAGNOSTIC_ONLY
Q3,113,0.0687574135414637,0.13598021225580836,0.08358266652240144,0.003094906235852101,-0.00017319627135455574,True,False,NONE_DIAGNOSTIC_ONLY
