state_label,rows,mean_state_p_stress,candidate_coverage,mean_incremental_log_loss,mean_incremental_net_return_10bps,sample_share,minimum_interpretable_rows,descriptively_interpretable,confirmatory_effect
range,2212,0.006967688644907403,0.13878842676311032,0.002002091677522451,0.00010116615736488156,0.9542709232096636,100,True,NONE_DIAGNOSTIC_ONLY
stress,37,0.7326517467142061,0.16216216216216217,0.007912711436497188,0.0016375233680267407,0.015962036238136326,100,False,NONE_DIAGNOSTIC_ONLY
trend,69,0.027962391413050614,0.391304347826087,0.0024217142739509116,0.0002525538075517536,0.029767040552200173,100,False,NONE_DIAGNOSTIC_ONLY
