Timestamp,sol_ret_1,sol_ret_3,btc_ret_1,btc_ret_3,trend_12,vol_20,range_12,volume_z
2021-01-01 00:00:00+00:00,,,,,,,,
2021-01-01 04:00:00+00:00,0.010364716526170714,,-0.006358290725851035,,,,,
2021-01-01 08:00:00+00:00,0.0046815411362894355,,0.00755606755794247,,,,,
2021-01-01 12:00:00+00:00,0.011669599359680705,0.026715857022140854,-0.004267199344564432,-0.003069422512472997,,,,
2021-01-01 16:00:00+00:00,0.04704447042097043,0.06339561091694057,-0.00548391202779186,-0.002195043814413822,,,,
2021-01-01 20:00:00+00:00,0.06533140908322488,0.12404547886387601,0.01037179326247184,0.0006206818901155486,,,,
2021-01-02 00:00:00+00:00,0.010422667593438573,0.12279854709763388,0.0006904820766031605,0.005578363311283141,,,,
2021-01-02 04:00:00+00:00,-0.06039968203723667,0.015354394639426783,0.01347014840154337,0.02453242374061837,,,,
2021-01-02 08:00:00+00:00,0.00750472565406779,-0.042472288789730306,0.00016805310517575833,0.014328683583322288,,,,
2021-01-02 12:00:00+00:00,0.0077860921443494435,-0.045108864238819435,0.06304469462509843,0.07668289613181756,,,,
2021-01-02 16:00:00+00:00,0.07485437560738395,0.09014519340580118,0.04128958466756316,0.10450233239783735,,,,
2021-01-02 20:00:00+00:00,-0.06334329633474112,0.019297171416992276,-0.02603821975918308,0.07829605953347851,,,0.3342228152101401,
2021-01-03 00:00:00+00:00,0.07814764560245513,0.08965872487509796,0.012217188600113005,0.027468553508493088,0.01617202206300444,,0.27380421629195584,
2021-01-03 04:00:00+00:00,0.062104541989650985,0.076908891257365,0.056066486450795594,0.04224545529172552,0.020483674184961127,,0.33749442710655364,
2021-01-03 08:00:00+00:00,0.08990046656586881,0.23015265415797492,-0.001127118676018668,0.06715655637488993,0.027585251304092742,,0.5055668016194332,
2021-01-03 12:00:00+00:00,-0.08830822478777467,0.06369678376774512,-0.0267067697565313,0.028232598018245625,0.01925376595847146,,0.47322810275456506,
2021-01-03 16:00:00+00:00,-0.05469416542044392,-0.05310192364234978,-0.02216213108042453,-0.0499960195129745,0.010775546305020265,,0.3905118018228557,
2021-01-03 20:00:00+00:00,0.10347973802137334,-0.03952265218684525,0.0069281764486195385,-0.04194072438833629,0.013954573716532637,,0.3905118018228557,
2021-01-04 00:00:00+00:00,0.058626640761192395,0.10741221336212181,0.015190380203540244,-4.357442826474767e-05,0.017971571480512122,,0.40219677494741757,
2021-01-04 04:00:00+00:00,-0.08708223615706423,0.0750241426255015,-0.04381461464571501,-0.02169605799355523,0.015748025303859825,,0.40219677494741757,
2021-01-04 08:00:00+00:00,-0.03553514736708352,-0.06399074276295535,-0.04222056445111555,-0.07084479889329032,0.012161369218763882,0.26973983229331977,0.40219677494741757,
2021-01-04 12:00:00+00:00,0.10919085227040759,-0.01342653125374016,0.03209363537877685,-0.05394154371805371,0.020611765895935396,0.28663454977568786,0.37142857142857144,
