signal_family,horizon_candles,horizon_hours,outer_fold,inner_fold,selected_signal_spec_id,selected_pipeline_id,selected_calibration_method,threshold,coverage,nonzero_decisions,mean_net_edge,cumulative_net_return,turnover_units
bollinger,1,4,1,2,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.1,0.0,0,0.0,0.0,0.0
bollinger,1,4,1,3,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.0,1.0,410,-0.0033672005932513533,-1.3805522432330548,307.0
bollinger,1,4,1,3,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.02,0.7634146341463415,313,-0.0022440370110853388,-0.7693835844697112,302.0
bollinger,1,4,1,3,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.05,0.4658536585365854,191,-0.002191772190746763,-0.5056284884326319,238.0
bollinger,1,4,1,3,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.1,0.0951219512195122,39,0.0010652057773637923,0.009543025317187842,72.0
rsi,1,4,2,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.0,1.0,820,-0.0008276506427898774,-0.6786735270876995,563.0
rsi,1,4,2,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.02,0.7451219512195122,611,-0.0007817213132361539,-0.61763172238729,545.0
rsi,1,4,2,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.05,0.2914634146341463,239,-0.000111389030984737,-0.16862197840535242,307.0
rsi,1,4,2,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.1,0.0,0,0.0,0.0,0.0
rsi,1,4,2,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.0,1.0,820,-0.0008261951977171605,-0.6774800621280717,681.0
rsi,1,4,2,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.02,0.7439024390243902,610,-0.0008381637179539434,-0.6592798679519056,632.0
rsi,1,4,2,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.05,0.4548780487804878,373,0.0010626440663417214,0.19636623674546172,498.0
rsi,1,4,2,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.1,0.11707317073170732,96,0.0003565577349690724,-0.03977045744296909,150.0
rsi,1,4,2,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.0,1.0,820,-0.0009409966157928134,-0.771617224950107,657.0
rsi,1,4,2,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.02,0.6890243902439024,565,-0.0012914821245201054,-0.89768740035386,613.0
