signal_family,horizon_candles,horizon_hours,outer_fold,selected_signal_spec_id,selected_pipeline_id,model_family,window_scheme,regime_conditioned,parameters_json,selected_calibration_method,selected_threshold,train_rows,fit_rows,calibration_rows,test_rows,benchmark_log_loss,candidate_log_loss,incremental_log_loss,benchmark_brier,candidate_brier,benchmark_ece,candidate_ece,policy_coverage,policy_nonzero_decisions,policy_mean_net_edge,policy_cumulative_net_return,policy_turnover_units,economic_gate_evaluated
rsi,2,8,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",sigmoid,0.0,1611,1287,322,1642,0.7133635687279927,0.7119044630161754,0.0014591057118172879,0.2599634594415351,0.2592888280966423,0.10123354176352316,0.09978171517437434,1.0,1642,-0.001946642275914605,-3.196386617051781,1.0,False
bollinger,2,8,1,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",none,0.0,1611,1611,0,1642,0.6976418035854615,0.6986161275341061,-0.0009743239486446065,0.25223549853640476,0.2527005975221463,0.050167544096962634,0.0511939771498741,1.0,1642,-0.0013850365309633823,-2.274229983841874,1075.0,False
rsi,2,8,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100, ""window_observations"": 2190}",none,0.02,2190,2190,0,1642,0.694953630508707,0.6961196891105583,-0.0011660586018513719,0.2508773805729172,0.25146698782269045,0.026983188189647414,0.027761034831419035,0.7015834348355664,1152,-0.0009225491169348343,-1.3777765827089294,1004.0,False
bollinger,2,8,2,bollinger-p20-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 2190}",none,0.05,2190,2190,0,1642,0.69337551999754,0.6930687221668449,0.0003067978306950936,0.2501032054481614,0.24995685814663887,0.010649879434067658,0.018891027681996443,0.1686967113276492,277,-0.0004165242798983946,-0.2603772255318554,304.0,False
rsi,2,8,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",none,0.05,4895,4895,0,1642,0.6939651118247587,0.6937250295488492,0.00024008227590954778,0.2504081999796585,0.25028836100716323,0.02502382692784992,0.0245610485845604,0.010353227771010963,17,-0.0014999740844127058,-0.04149955943501602,32.0,False
bollinger,2,8,3,bollinger-p20-k2.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",none,0.05,4895,4895,0,1642,0.6939651118247587,0.6938806068576224,8.450496713630073e-05,0.2504081999796585,0.2503642351956167,0.02502382692784992,0.032125778174270925,0.11327649208282582,186,-0.0028349778517900914,-0.6523058804329572,250.0,False
rsi,2,8,4,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 4380}",none,0.0,4380,4380,0,1642,0.6927726425214914,0.6974026037501365,-0.004629961228645119,0.24981434712771242,0.2520426941714527,0.022997207512030878,0.04092110631304364,1.0,1642,-0.0005264514404807762,-0.8644332652694346,1191.0,False
bollinger,2,8,4,bollinger-p40-k1.5-continuation,regularized_linear-C0p1-window_observations4380-rolling_two_year-unconditioned,regularized_linear,rolling_two_year,False,"{""C"": 0.1, ""window_observations"": 4380}",none,0.0,4380,4380,0,1642,0.6919358531981766,0.6967670510916545,-0.0048311978934778566,0.2494049375647666,0.25179549406074025,0.024025997736155137,0.05011222875637149,1.0,1642,0.0006648186739393639,1.0916322626084356,409.0,False
rsi,2,8,5,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 2190}",none,0.02,2190,2190,0,1640,0.6944658853182716,0.6936975784132625,0.0007683069050090641,0.2506457827645943,0.25025843072882553,0.01847943923381647,0.01470041820580714,0.6024390243902439,988,0.0003964830808470714,0.07772528387690614,877.0,False
bollinger,2,8,5,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",none,0.05,8179,8179,0,1640,0.6926244098701037,0.6938470186807657,-0.0012226088106620514,0.2497326984986122,0.25033273970402004,0.009466213004697806,0.03301993698788418,0.2926829268292683,480,0.0016683758585113216,0.6828204120854344,258.0,False
