horizon_candles,outer_fold,Timestamp,state_p_range,state_p_trend,state_p_stress,state_label
1,1,2021-10-01 16:00:00+00:00,0.2502950115502358,0.7493034182247771,0.00040157022498705526,trend
1,1,2021-10-01 20:00:00+00:00,0.6324787518837617,0.3663099409022213,0.001211307214016961,range
1,1,2021-10-02 00:00:00+00:00,0.9603181782320752,0.038558886813803706,0.0011229349541208608,range
1,1,2021-10-02 04:00:00+00:00,0.9496403025658307,0.05027584645111654,8.385098305285703e-05,range
1,1,2021-10-02 08:00:00+00:00,0.9589636296065023,0.0409601148232309,7.62555702668127e-05,range
1,1,2021-10-02 12:00:00+00:00,0.07515599741752087,0.9247423468239542,0.0001016557585249791,trend
1,1,2021-10-02 16:00:00+00:00,0.08198808112021036,0.9171749878135024,0.0008369310662877105,trend
1,1,2021-10-02 20:00:00+00:00,0.4524786144699861,0.5351993761726669,0.012322009357346985,trend
1,1,2021-10-03 00:00:00+00:00,0.48191759502312687,0.5171347583316558,0.0009476466452176814,trend
1,1,2021-10-03 04:00:00+00:00,0.6474333553964987,0.35169953453046765,0.0008671100730336815,range
1,1,2021-10-03 08:00:00+00:00,0.963275663128273,0.03636903339246516,0.00035530347926149264,range
1,1,2021-10-03 12:00:00+00:00,0.9866668337455063,0.013285926175323691,4.724007916998036e-05,range
1,1,2021-10-03 16:00:00+00:00,0.9880327188607626,0.011933813366150178,3.3467773087227044e-05,range
1,1,2021-10-03 20:00:00+00:00,0.9956268503980267,0.004295891406744348,7.725819522887885e-05,range
1,1,2021-10-04 00:00:00+00:00,0.9955949736080157,0.004113798234823718,0.00029122815716065703,range
1,1,2021-10-04 04:00:00+00:00,0.9901579585044822,0.009788828252267196,5.3213243250603234e-05,range
1,1,2021-10-04 08:00:00+00:00,0.9972600599921607,0.002581117765944105,0.000158822241895385,range
1,1,2021-10-04 12:00:00+00:00,0.9984042416376007,0.001518688175388027,7.707018701132275e-05,range
1,1,2021-10-04 16:00:00+00:00,0.9977481647814775,0.0022194391211335903,3.239609738885497e-05,range
1,1,2021-10-04 20:00:00+00:00,0.9989208637369766,0.0010322319650139314,4.6904298009495983e-05,range
1,1,2021-10-05 00:00:00+00:00,0.9987869323788808,0.0011834669473785723,2.9600673740571977e-05,range
1,1,2021-10-05 04:00:00+00:00,0.9990156610813511,0.000949411704529879,3.492721411909316e-05,range
1,1,2021-10-05 08:00:00+00:00,0.9976607456819946,0.002320604773653878,1.8649544351663135e-05,range
1,1,2021-10-05 12:00:00+00:00,0.9993051719550803,0.0004817542540333567,0.00021307379088645164,range
1,1,2021-10-05 16:00:00+00:00,0.9993220426351603,0.0006127541912303669,6.520317360911731e-05,range
1,1,2021-10-05 20:00:00+00:00,0.9974130453868806,0.0025715766950564255,1.5377918063049538e-05,range
1,1,2021-10-06 00:00:00+00:00,0.9990701912902853,0.0007615817882122679,0.00016822692150218074,range
1,1,2021-10-06 04:00:00+00:00,0.9992519083468553,0.0007032636485284819,4.482800461627952e-05,range
