pipeline_id,model_family,window_scheme,window_observations,regime_conditioned,parameters_json,complexity_rank
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations4380-rolling_two_year-unconditioned,shallow_hist_gradient_boosting,rolling_two_year,4380.0,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":4380}",69
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,4380.0,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":4380}",70
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,2190.0,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":2190}",71
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,2190.0,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":2190}",72
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100}",73
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100}",74
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations4380-rolling_two_year-unconditioned,shallow_hist_gradient_boosting,rolling_two_year,4380.0,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":4380}",75
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,4380.0,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":4380}",76
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,2190.0,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":2190}",77
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,2190.0,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":2190}",78
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100}",79
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100}",80
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-window_observations4380-rolling_two_year-unconditioned,shallow_hist_gradient_boosting,rolling_two_year,4380.0,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":4380}",81
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,4380.0,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":4380}",82
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,2190.0,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":2190}",83
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,2190.0,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":2190}",84
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100}",85
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100}",86
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-window_observations4380-rolling_two_year-unconditioned,shallow_hist_gradient_boosting,rolling_two_year,4380.0,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":4380}",87
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,4380.0,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":4380}",88
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,2190.0,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":2190}",89
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,2190.0,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":15,""min_samples_leaf"":100,""window_observations"":2190}",90
