signal_family,family_decision,pipeline_admitted,selected_horizon_candles,selected_horizon_hours,selected_mean_incremental_log_loss,selected_positive_outer_folds,rejection_reasons,holdout_eligible
rsi,NO_PIPELINE_ADMITTED,False,,,,,h1:POSITIVE_MEAN_INCREMENTAL_LOG_LOSS|FOLD_CONCENTRATION_CONTROL;h2:POSITIVE_MEAN_INCREMENTAL_LOG_LOSS;h3:POSITIVE_MEAN_INCREMENTAL_LOG_LOSS|FOLD_CONCENTRATION_CONTROL;h6:POSITIVE_MEAN_INCREMENTAL_LOG_LOSS|FOLD_CONCENTRATION_CONTROL,False
bollinger,PIPELINE_ADMITTED_FOR_METHODOLOGY_LOCKED_EVALUATION,True,1.0,4.0,0.0014348484900428798,5.0,,True
